index,name,type,category,Courriel,Type.1,Région,Periodicité,Province,Ville,Catégorie,Groupe de presse,Télécopieur,Site web,Code postal,Spécialisations,Téléphone,Adresse
12,24 Images,Magazine,Indépendant,info@revue24images.com,Magazine,Montréal,6 fois l'an,QC,Montréal,,Indépendant,,revue24images.com,H2S 2E4,Cinéma,514 972-3310,"6874, rue de la Roche "
13,360° sur le Val-Saint-François,Périodique,Indépendant,redaction@le360.ca,Périodique,Estrie,Mensuel,QC,Richmond,Média communautaire,Indépendant,819 826-6746,,J0B 2H0,,819 826-3336,"790, Hayes C.P. 381"
14,37e AVENUE,Agence,Indépendant,steve@37eavenue.com,Agence,Montréal,,QC,Montréal,,Indépendant,,,H2S 1W9,Journalisme de données -  - Création graphique,514 924-0894,"305, rue de Bellechasse, #205 "
15,45eNord.ca,Internet,Indépendant,nlaffont@45enord.ca,Internet,Montréal,,QC,Montréal,,Indépendant,,45enord.ca,H3W 1X1,actualités militaires,,"4815. chemin queen Mary, #21 "
16,7 Jours,Magazine,Quebecor,7jours@tvapublications.com,Magazine,Montréal,Hebdomadaire,QC,Longueuil,,Quebecor,514 848-9854,7jours.ca,J4K 5G7,Nouvelles artistiques,"514 848-7000, #2031",1010 Sérigny Street 
17,7h42,Internet,Indépendant,info@7h42.com,Internet,Montréal,,,,,Indépendant,,http://7h42.com/fr/,,,,
18,"89,5 FM",Radio,RNC Media,le895fm@live.ca,Radio,Québec,Hebdomadaire,QC,Donnacona,,RNC Media,,www.cknufm.com,G3M 1G7,,,"274, Notre-Dame "
19,"92,9 CFUT",Radio,Indépendant,nouvelles@929cfut.com,Radio,Mauricie,,QC,Shawinigan,Média communautaire,Indépendant,819 537-6377,www.929cfut.com,G9N 1M3,,819 537-0911,"540, avenue Broadway "
20,940 News (C I N W - AM),Radio,Cogeco,news@940news.com,Radio,Montréal,,QC,Montréal,,Cogeco,(514) 787-7989,www.940news.com,H5A 1M1,,(514) 982-0911,"800, De la Gauchetière Bureau 1100"
21,"98,5 FM",Radio,Cogeco,communique@985.ca,Radio,Montréal,,Québec,Montréal,,Cogeco,,www.985fm.ca,H5A 1M1,,514 841-9110,"800, De la Gauchetière Ouest, #1100 "
22,A Voz de Portugal,Pér,Indépendant,jornal@avozdeportugal.com,Pér,Montréal,Hebdomadaire,QC,Montréal,Média ethnique,Indépendant,514 284-6150,www.avozdeportugal.com,H2W 1Z4,Affaires municipales - Communauté portuguaise,514 284-1813 ,"4231-B, boul. Saint-Laurent "
23,Abaka,,Indépendant,abaka@bellnet.ca,,Montréal,Hebdomadaire,QC,Saint-Laurent,Média ethnique,Indépendant,514 747-6162,abakanews.org,H4N 1Z5,,514 747-6680,"825, rue Manoogian "
24,Accès Vision 9,Télévision,,,Télévision,Montréal,,QC,Montréal,Média communautaire,,(514) 277-1823,,H3N 2Y1,,(514) 277-7133 p. 308,"405, Ogilvy, #200 "
25,Accès Laurentides,Hebdo régional,Indépendant,redaction@journalacces.ca,Hebdo régional,Laurentides,Hebdomadaire,QC,Piedmont,,Indépendant,450 227-1225,journalacces.ca,J0R 1K0,Arts et culture,450 227-7999,"727, Principale "
26,ACPAV,Télévision,Indépendant,acpav@generation.net,Télévision,Montréal,,QC,Montréal,,Indépendant,(514) 849-9487,,H2L 2L6,Documentaires,(514) 849-2281,"1050, boul. René-Lévesque E., #200 "
27,Actif,Magazine,,,Magazine,Montréal,5 fois l'an,QC,LaSalle,,,(514) 366-4495,,H8N 2Y8,,(514) 366-4436,"2251, boul. Stevchenko "
28,Actualités - L'Étincelle,Hebdo régional,Néomédia.com,journal@letincelle.qc.ca,Hebdo régional,Estrie,Hebdomadaire,QC,Windsor,,Néomédia.com,819 845-5520,www.letincelle.qc.ca,J1S 1J7,Affaires régionales,819 845-2705,"193, Saint-Georges "
29,Actualités Côte-des-Neiges,Pér,Indépendant,journal@lesactualites.ca,Pér,Montréal,Bimensuel,QC,Montréal,,Indépendant,514 342-0391,www.lesactualites.ca,H3S 2B4,Affaires régionales,514 342-0386,"5566, ch Côte-des-Neiges, #407 "
30,ADN5,Télévision,Indépendant,montreal@adn5.ca,Télévision,Montréal,,QC,Boucherville,,Indépendant,514 750-0177,www.adn5media.com,J4B 0B7,,514 750-0205,"29-640, rue Paul-Doyon "
31,ADN5 Sherbrooke,Télévision,Indépendant,sherbrooke@adn5.ca,Télévision,Estrie,,QC,Sherbrooke,,Indépendant,819 822-4205,www.adn5.ca,J1L 1Z9,,819 212-6570 ,"3720, boulevard Industriel  "
32,Affaires Montérégiennes,Magazine,Indépendant,ser@bellnet.ca,Magazine,Montérégie,10 fois l'an,QC,Longueuil,,Indépendant,450  646-3397,www.affairesmonteregiennes.com,J4G 1X7,Affaires régionales,450 646-5846,"813, Bériault, #202 "
33,Affaires Vallée de la Gatineau,Périodique,Indépendant,mclermont@ireseau.com,Périodique,Outaouais,10 fois l'an,QC,Maniwaki,,Indépendant,(819) 449-4806,,J9E 1L2,Affaires,(819) 449-4806,"480, Sainte-Cécile "
34,Afrik Confidences,Tél,Indépendant,,Tél,Montréal,,QC,Montréal,,Indépendant,,,H2M 2E3,,514 312-4747,9525 Avenue Christophe-Colomb 
35,Afrique Tribune,Magazine,Indépendant,afriquetribune@pagel.com,Magazine,Montréal,6 fois l'an,QC,Montréal,,Indépendant,(514) 868-6262,,H2X 1N6,Afrique - Communauté africaine,,"180, boul. René-Lévesque E., #109 "
36,AfriqueCanada TV,Internet,Indépendant,info@afriquecanada.tv,Internet,Montréal,,QC,Montréal,,Indépendant,,www.afriquecanada.tv,H8R 3H6,,514 992-8390,"410, Lafleur, #08 "
37,Afro vision,Magazine,Indépendant,afrovision@hotmail.com,Magazine,Montréal,6 fois l'an,QC,Ville St-Laurent,Média ethnique,Indépendant,(514) 982-9228,,H4N 3A7,Communauté africaine - Francophonie - Politique,(514) 335-4350,"101, Deguire, bureau 408 "
38,Agence Alpha Presse,Agence,Indépendant,image@alphapresse.com,Agence,Montérégie,,QC,Franklin,,Indépendant,,www.alphapresse.com,J0S 1E0,,450 827-2179,"3196, ch. Covey Hill "
39,Agence Cargo,Agence,Indépendant,,Agence,Montréal,,QC,Montréal,,Indépendant,(514) 525-0001,,H2J 3X6,,(514) 525-1212,"4424, Marquette "
40,Agence de presse du Québec,Agence,Indépendant,redaction@agencedepresse.info,Agence,Montréal,,QC,Montréal,,Indépendant,514 526-3101,www.agencedepresse.info,H2J 1L8,,514 526-3100,
41,Agence de presse du Québec régional,Agence,Indépendant,mbeausoleil@apqr.ca,Agence,Québec,,QC,Saint-Léonard-de-Portneuf,,Indépendant,,www.apqr.ca,G0A 4A0,,418 337-4270,"1640,  Saint-Paul "
42,Agence de presse Keystone,Agence,Indépendant,picturedesk@keystonepressagency.com,Agence,Montréal,,QC,Montréal,,Indépendant,514 448-4626,www.keystonepressagency.com,H3Y 2S8,,514 482-5312,"664, grosvenor avenue "
43,Agence de presse latino-américaine,Agence,,jaisiot@mediom.qc.ca,Agence,Québec,,QC,Sillery,,,418 688-7697,,G1S 1M4,,418 688-3063,"1700, boul. Laurier "
44,Agence de presse Présence,,Indépendant,,,Montréal,,QC,Montréal,,Indépendant,,http://presence-info.ca,H3J 1M3,,,"1340, boul. Saint-Joseph Est "
45,Agence France Presse,Agence,Indépendant,afpmontreal@afp.com,Agence,Montréal,,QC,Montréal,,Indépendant,,www.afp.com,H2X 1N6,,514 288-2777,"180, boul. René-Lévesque E., #200 "
46,Agence Gamma,Agence,Indépendant,presse@gamma-rapho.com,Agence,France,,,Paris,,Indépendant,,www.gamma-rapho.com,75014,Photographie,00.33.01.73.00.70.79,"104, boulevard Arago "
47,Agence Gaspa Photo-vidéo inc.,Agence,Indépendant,info@gaspa.ca,Agence,Gaspésie-IdM,,QC,Carleton-sur-Mer ,,Indépendant,418 364-6375,www.gaspa.ca,G0C 1J0,,418 364-6424,"52, de la Montagne "
48,Agence Line Press - Canada,Tél,Indépendant,laurent.bortolussi@linepress.info,Tél,Québec,,France,,,Indépendant,,,,,,
49,Agence QMI,,Quebecor,,,,,QC,Québec,,Quebecor,,,G1R 5J4,,,"1050, rue des Parlementaires "
50,Agence QMI,Agence,Quebecor,nouvelles@agenceqmi.ca,Agence,Montréal,,QC,Montréal,,Quebecor,,www.agenceqmi.ca,H3B 4N4,,514 380-1997,"1100, boul. René-Lévesque Ouest, #2000 "
51,Agence QMI Ottawa,Agence,Quebecor,,Agence,Outaouais,,QC,Ottawa,,Quebecor,,,K1P 6E5,,,"207 Queen, #300 "
52,Agence Québec Presse,Agence,Indépendant,agencequebecpresse@gmail.com,Agence,Montérégie,,QC,Brossard,,Indépendant,,agencequebecpresse.photoshelter.com,J4Z 0H5,,514 984-8526,"6400, rue Christophe, #210 "
53,Agence Science Presse,Agence,Indépendant,redaction@sciencepresse.qc.ca,Agence,Montréal,,QC,Montréal,,Indépendant,514 844-8407,www.sciencepresse.qc.ca,H2J 2B7,Sciences et technologie,"514 844-4388 , #221","1124, Marie-Anne E., #12 "
54,Agir !,Magazine,Indépendant,agir@medialog.qc.ca,Magazine,Gaspésie-IdM,2 fois l'an,QC,New Richmond,,Indépendant,(418) 392-6396,,G0C 2B0,,(418) 392-5008,"138, route 132 O. "
55,AGLA Médias,Agence,Ind./Petit groupe,info@aglamedias.com,Agence,Montréal,,QC,Montréal,,Ind./Petit groupe,514 725-8063,www.aglamedias.com,H2R 2Y6,,514-571-2487,"7248, rue Saint-Urbain "
56,Agri Vallée,Périodique,Quebecor,lerouxs@hebdos.net,Périodique,Montérégie,Bimensuel,QC,Salaberry-de-Valleyfield,,Quebecor,450 371-7254,www.monteregieweb.com,J6T 4R4,Agriculture,450 371-7547,"55, Jacques-Cartier "
57,Al Miraat,Périodique,Indépendant,almiraat@total.net,Périodique,Montréal,Hebdomadaire,QC,Ville Saint-Laurent,,Indépendant,,www.arab-montreal.com/al-miraat,H4R 1X1,,,"1430, Bégin "
58,Al Moustakbal «L'Avenir»,Périodique,Indépendant,journal@almustakbal.com,Périodique,Montréal,Hebdomadaire,QC,Montréal,Média communautaire,Indépendant,514 747-1903,www.almustakbal.com,H4N 1G8,Actualités - Communautaire - Moyen-Orient,514 334-0909,"1305, rue Mazurette bureau 6"
59,Al-Akhbar / An-Nahar,,Indépendant,info@alakhbar.ca,,Montréal,Hebdomadaire,QC,Dorval,Média communautaire,Indépendant,514 631-4004,www.alakhbar.ca,H9P 1H2,,514 636-4004,"2086 A, Chartier "
60,Al-Machreq et Al-Maghreb,Pér,Indépendant,arabemedia1@gmail.com,Pér,Montréal,Hebdomadaire,QC,Montréal,Média ethnique,Indépendant,514 723-1680,www.media-arabe.ca,H2E 1T9,Communauté arabe - Moyen-Orient,514 723-3330,"1989, Jean-Talon E. "
61,Alerte Plus,,,alerte@sauvetage.ca,,Montréal,,QC,Montréal,,,(514) 254-6232,www.sauvetage.ca,H1V 3R2,,(514) 252-3100,"4545, Pierre-de-Coubertin "
62,Alfa,Pér,Indépendant,m_chelfi@videotron.ca,Pér,Montréal,10 fois l'an,QC,Montréal,Média ethnique,Indépendant,514 384-1382,http://www.journalfa.ca,H2N 2L2,Algérie - Maroc - Tunisie,514 531-1382,"C.P. 70827, succursale Chabanel "
63,Algérie Magazine,Télévision,Indépendant,tarikmihoubi@hotmail.com,Télévision,Montréal,,QC,Montréal,Média ethnique,Indépendant,(514) 381-6747,,H2N 1X4,Algérie - Communauté arabe,(514) 381-7011,"8828, Jeanne-Mance "
64,Alter-Ciné,Télévision,Indépendant,alter@mlink.net,Télévision,Montréal,,QC,Montréal,,Indépendant,514 273-8280,www.altercine.org,H2T 2Z8,,514 273-7136,"5371, av. de l'Esplanade "
65,Alternatives,Pér,Indépendant,journal@alternatives.ca,Pér,Montréal,,QC,Montréal,,Indépendant,514 982-6122,www.journal.alternatives.ca,H2X 2J1,,514 982-6606,"3720, av. du Parc, #300 "
66,Amérimage Spectra,Télévision,Indépendant,,Télévision,Montréal,,QC,Montréal,,Indépendant,(514) 525-8033,www.equipespectra.ca,H2L 1K4,,(514) 525-7833,"822, Sherbrooke E. "
67,Amabilis inc.,Internet,Indépendant,coptimc@amabilis.com,Internet,Montréal,,QC,Montréal,,Indépendant,,www.amabilis.com,H2P 1Z3,mode,514 241-4867,"8352, Saint-Hubert "
68,Ani-Mots,Internet,,,Internet,,,,,,,,www.mlink.net/veterinet/mag.html,,,,
69,Apna Watan,Pér,Indépendant,apnawatan2002@yahoo.com,Pér,Montréal,Mensuel,QC, Laval,Média ethnique,Indépendant,,,H7W 1S8,Communauté pakistanaise,514-798-2838,"4021, boul. Notre-Dame "
70,Art et technologie des médias,Maison d'enseignement,,communication@cegepjonquiere.ca,Maison d'enseignement,Saguenay-Lac-St-Jean,,QC,Jonquière,,,418 695-7309,http://atmjonquiere.com/atm/,G7X 7W2,,"418 547-2191, #280","Cegep de Jonquière 2505, Saint-Hubert"
71,Artères,Périodique,Independant,,Périodique,Montréal,Bimensuel,QC,Montréal,,Independant,(514) 526-1060,,H2L 2Y3,,(514) 525-8174,"2006, Plessis "
72,Arts Cinéma Lettres,Pér,Independant,,Pér,Montréal,2 fois l'an,QC,Montréal,,Independant,,,H3H 2N3,Arts et culture - Cinéma,514 933-0612,"C.P. 1351, Succ. H "
73,Arts et Images productions,Télévision,Indépendant,aipi@interlinx.qc.ca,Télévision,Estrie,,QC,Sherbrooke,,Indépendant,(819) 822-4132,,J1J 2C2,,(819) 822-4131,"1448, King O. "
74,ARTV,Tél,Indépendant,sylvie.desilets@artv.ca,Tél,Montréal,,QC,Montréal,,Indépendant,514 597-3633,www.artv.ca,H2L 2M2,,514 597-3636,"1400, boul. René-Lévesque E., A 53-1 "
75,Askmen.com - Men’s Magazine,Internet,Indépendant,ask@askmen.com,Internet,Montréal,,QC,Montréal,,Indépendant,514 843-3650,www.askmen.com,H2W 2R2,Homme - Internet,514 908-2552,"4200, Saint-Laurent, #801 "
76,Aspect,Internet,,,Internet,,,,,,,,www.multi-medias.ca/aspect,,,,
77,Association de la presse francophone (APF),Agence,,dg@apf.ca,Agence,Outaouais,,ON,Ottawa,,,613 241-6313,www.apf.ca,K1N 7E3,,613 241-1017,"267, Dalhousie "
78,Assurance,Magazine,Rogers,,Magazine,Montréal,Mensuel,QC,Montréal,,Rogers,514-843-2180,www.assurancededommages.ca,H3B 4G7,,514 843-2183,"1200, McGill College 8e étage"
79,Astral Radio Mauricie,Radio,Bell Media,nouvelles.mauricie@astral.com,Radio,Mauricie,,QC,Trois-Rivières,,Bell Media,,www.radionrj.ca/info,G9A 6J4,,819 378-1023,"1500, Royale, #260 "
80,Atlas.Mtl,Magazine,Indépendant,admin@atlasmedias.com,Magazine,Montréal,Bimensuel,QC,Brossard,Média ethnique,Indépendant,450 656-5360,www.atlasmedias.com,J4Z 0B1,,514 962-8527,"7280 chardonneret, #6 "
81,Atout Micro,Magazine,Indépendant,atout@atoutmicro.ca,Magazine,Chaudière-Appalaches,9 fois l'an,QC,Saint-Isidore,,Indépendant,,www.atoutmicro.ca,G0S 2S0,Informatique,418 882-5214,C. P. 240 
82,Attraction Images,Télévision,Ind./Petit groupe,info@attractionimages.ca,Télévision,Montréal,,QC,Montréal,,Ind./Petit groupe,514 285-6851,http://attractionimages.ca/fr,H2T 3B3,,514 285-7130,"5455, av de Gaspé. #804 "
83,Au Coeur des Broughtonnais,Périodique,,,Périodique,Chaudière-Appalaches,Mensuel,QC,Sainte-Marie,,,(418) 387-5223,www.dynamiques.com,G6E 1B6,,(418) 387-6969,"450, 2e Avenue Parc Industriel"
84,Au fil de la Boyer,Magazine,Indépendant,textelaboyer@gmail.com,Magazine,Chaudière-Appalaches,10 fois l'an,QC,St-Charles-de-Bellechasse,Média communautaire,Indépendant,,www.laboyer.com,G0R 2T0,Communautaire,,"8-B, av. Commerciale, C.P. 316 "
85,Aufeminin.ca,Magazine,Indépendant,redaction@aufeminin.com,Magazine,Montréal,,,Montréal,,Indépendant,,www.aufeminin.ca,H2Y 2M8,"Beauté, mode, people",514 228-3617,"449, rue Saint-Pierre, #101 "
86,Auto Journal,Pér,Indépendant,info@autojournal.qc.ca,Pér,Montréal,Mensuel,QC,Lachine,,Indépendant,,www.autojournal.qc.ca,H8T 3J5,Automobile,,"1730, 55e Avenue "
87,auto123.com,Internet,Indépendant,racing@auto123.com,Internet,Montréal,,QC,Laval,,Indépendant,450 681-1203,www.auto123.com,H7V 4B4,,450 681-5868,"420, Armand-Frappier, suite 200 "
88,Autoblog Québec ,Internet,Indépendant,autoblog.quebec@aol.com,Internet,Montréal,,QC,Montréal,,Indépendant,,http://quebec.autoblog.com,H2Y 1W4,,,"19 Rue le Royer, #202 "
89,Autojournal,Magazine,Autosphère,info@autosphere.ca,Magazine,Montréal,9 fois l'an,QC,Montréal,,Autosphère,514 289-5151,www.autosphere.ca/autojournalfr/,H2Y 1C9,,514 289-0888,"455, Notre-Dame E., #311 "
90,Automag,Périodique,Indépendant,info@automag.qc.ca,Périodique,Montréal,6 fois l'an,QC,Lachine,,Indépendant,514 631-0591,www.automag.qc.ca,H8T 3J5,Automobile,514 631-6550,"1730, 55e Avenue "
91,Automech Pro,Internet,,,Internet,,,,,,,,www.automechpro.com/,,,,
92,Autour de l'Ile,Pér,Indépendant,info@autourdelile.com,Pér,Québec,Mensuel,QC,"Saint-Pierre, Île-d'Orléans",Média communautaire,Indépendant,418 828-0741,www.autourdelile.ca,G0A 4E0,Communautaire,418 828-0330,"517, route des Prêtres, #115 "
93,Avantages,Magazine,TC Media,alyssa.hodder@tc.tc,Magazine,Montréal,8 fois l'an,QC,Montréal,,TC Media,514 843-2180,http://www.conseiller.ca/avantages/,H3B 4G7,Gestion placements,514 845-5141,"1200, McGill College #800 "
94,Avanti Ciné-Vidéo,Télévision,Indépendant,productions@avanticinevideo.com,Télévision,Montréal,,QC,Montréal,,Indépendant,(514) 849-2457,www.avanticinevideo.com,H2W 1M5,Affaires publiques - Arts et culture - Documentaires,,"225, Roy E., #201 "
95,Aventure Chasse et Pêche,Magazine,Indépendant,commentaires@qacp.com,Magazine,Chaudière-Appalaches,4 fois l'an,QC,Saint-Simon-les-Mines,,Indépendant,418 774-4444,www.aventure-chasse-peche.com,G0M 1K0,,418 774-4443 ,"332, Veilleux "
96,Avenues,Internet,Indépendant,,Internet,Montréal,,,,,Indépendant,,,,,,
97,Bazar,,Indépendant,iranianyellowpages@gmail.com,,Montréal,Mensuel,QC,Pierrefonds,Média ethnique,Indépendant,514 624-2635,,H9H 2T4,,514 848-9599,"4125, rue Acres "
98,Bazm,Périodique,Indépendant,bazm1989@yahoo.ca,Périodique,Montréal,Mensuel,QC,Pierrefonds,Média ethnique,Indépendant,514 828-7613,,H9H 2V7,Communauté pakistanaise,514 620-2041,"4248, Hugo "
99,Beauce Média,Hebdo régional,TC Media,redaction.beaucemedia@tc.tc,Hebdo régional,Chaudière-Appalaches,Hebdomadaire,QC,Sainte-Marie-de-Beauce,,TC Media,418 387-4495,www.beaucemedia.ca,G6E 3B6,Affaires régionales,418 387-8000,"1147, boul. Vachon N. "
100,Beauce Média,Hebdo régional,,,Hebdo régional,Chaudière-Appalaches,,QC,Sainte-Marie-de-Beauce,,,418 387-4495,http://www.beaucemedia.ca,G6E 3B6,,418 387-8000 ,"1147, boulevard Vachon Nord  "
101,BeauceMagazine.com,Internet,,redaction@beaucemagazine.com,Internet,,,QC,Saint-Georges-de-Beauce,,,,www.beaucemagazine.com ,G5Y 5A2,Aînés,418-228-3680,"650, 11e rue ouest "
102,Beauport Express,Hebdo régional,TC Media,redaction_quebec@tc.tc,Hebdo régional,Québec,Hebdomadaire,QC,Québec,,TC Media,418 622-1511,www.beauportexpress.com,G2J 1C2,Affaires régionales,418 840-1472,"710, Bouvier, #107 "
103,Bell Média,Radio,Bell Media,,Radio,Montréal,,QC,Montréal,,Bell Media,514 529-9308 ,www.bellmedia.ca,H2L 4T9,,514 529-3229 ,"1717, boul. René-Lévesque E., #200 "
104,Bell Média TVPlus,Groupe de presse,Bell Media,,Groupe de presse,Montréal,,QC,Montréal,,Bell Media,514 939-5079,www.bellmediatvplus.ca,H3A 3T6,,514 939-5000,"1800, McGill College, #1600 "
105,Berberes.com,,Indépendant,,,Montréal,,,,Média communautaire,Indépendant,,www.berberes.com,,,,
106,Bizim Anadolu,Pér,Indépendant,bizimanadolu@yahoo.com,Pér,Montréal,Mensuel,QC,Montréal,Média ethnique,Indépendant,514 593-8698,www.bizimanadolu.com,H51 0A9,Actualités - Communauté turque,514 593-8698,"C.P. 87414, Succ. Desjardins "
107,"BLEU FM (96,3 et 100,3)",Radio,Indépendant,journaliste@bleufm.ca,Radio,Gaspésie-IdM,,QC,Sainte-Anne-des-Monts,Média communautaire,Indépendant,418 763-7211,www.bleufm.ca,G4V 1N1,Actualités - Affaires régionales,418 763-5522,"170, boul. Sainte-Anne E. "
108,Blimp Télé,Tél,Indépendant,info@blimp.tv,Tél,Montréal,,QC,Longueuil,,Indépendant,450 670-9600,www.blimp.tv,J4H 3L3,Production audiovisuelle,514 842-0039,"135, chemin de Chambly "
109,Bloomberg News,Agence,Indépendant,tomesco@bloomberg.net,Agence,Montréal,,QC,Montréal,,Indépendant,514 866-4913,www.bloomberg.com,H3B 2C4,Affaires - Économie - Sports & Loisirs,514 286-1565,"1, Place Ville-Marie, #2001 "
110,"Blvd 102,1",Radio,Ind./Petit groupe,nouvelles@blvd.ca,Radio,Chaudière-Appalaches,,QC,Québec,,Ind./Petit groupe,418 830-1951,www.blvd.fm,G2J 0C1,,418  682-8433,"815 boulevard Lebourgneuf, #505 "
111,"Boom - FM 104,1",Radio,Bell Media,nouvellesstjean@bellmedia.ca,Radio,Montérégie,,QC,Saint-Jean-sur-Richelieu,,Bell Media,450 348-2274,www.boomfm.com,J3B 6X3,,450 346-0104,"104, Richelieu "
112,"Boom - FM 106,5",Radio,Bell Media,nouvelles.saint-hyacinthe@astral.com,Radio,Montérégie,,QC,Saint-Hyacinthe,,Bell Media,450 774-7785,www.boomfm.com,J2S 7R8,,450 774-6486,"2596, boul. Casavant O.  "
113,Boycott!,Internet,,,Internet,,,,,,,,www.reseaubec.com/bernatch/boycott.htm,,,,
114,Branchez-Vous!,Internet,Rogers,,Internet,Montréal,,QC,Montréal,,Rogers,,www.branchez-vous.com,H3C 2N8,,514 842-3838,"260, Queen "
115,Bravo,Magazine,Independant,,Magazine,Montréal,,QC,LaSalle,,Independant,(514) 368-5426,,H8R 2H5,,(514) 368-5426,"9354, Brome "
116,Brome County News,Hebdo régional,Indépendant,sherbrookerecord@videotron.ca,Hebdo régional,Estrie,Hebdomadaire,QC,Knowlton,,Indépendant,450 243-5155,www.sherbrookerecord.com,J0E 1V0,Affaires régionales - Communautaire,450 242-1188 ,"88, Lakeside, C.P. 488 "
117,Bulletin d'Aylmer/West Quebec Post,Hebdo régional,Indépendant,info@bulletinaylmer.com  ou editor@westquebecpost.com,Hebdo régional,Outaouais,Hebdomadaire,QC,Aylmer,,Indépendant,819 684-6428,www.bulletinaylmer.com,J9H 6A6,Affaires régionales,819 684-4755 ,"181, Principale, #C-10 "
118,BUM interactif,Agence,Indépendant,,Agence,Québec,,QC,Québec,,Indépendant,,www.buminteractif.com,G1R 2G3,,418 687-3338,"545, St-Amable, #116 "
119,Buongiorno Italia,Télévision,Indépendant,,Télévision,Montréal,,QC,Montréal,,Indépendant,,,H2E 2C3,Communauté italienne,(514) 593-5840,"7919, Fabre "
120,C B C  (Radio - Montréal),Radio,Radio-Canada,mtlcomm@cbc.ca,Radio,Montréal,,QC,Montréal,,Radio-Canada,514 597-7600,www.cbc.ca/news/canada/montreal,H2L 2M2,,514 597-6300,"1400, boul. René-Lévesque E. #A-48"
121,C B C  (Radio - Toronto),Radio,,,Radio,Canada anglais,,ON,Toronto,,,(416) 205-5622,,M5V 3G7,,(416) 205-2887,"205, Wellington O. Bureau 5G506"
122,C B C  (Radio/Télé - Québec),Radio,Radio-Canada,cbve@quebec.radio-canada.ca,Radio,Québec,,QC,Québec,,Radio-Canada,418 691-3610,www.radio-canada.ca,G1K 9L4,,418 691-3620,"888, Saint-Jean C. P. 18800"
123,C B C  (Télé-Toronto),Télévision,,,Télévision,,,ON,Toronto,,,,www.radio-canada.ca,M5X 1J2,,(416) 205-5750,"130, King Ouest "
124,C B C  (Télé - Montréal),Tél,Radio-Canada,canadanow@montreal.cbc.ca,Tél,Montréal,,QC,Montréal,,Radio-Canada,514 597-6354,www.montreal.cbc.ca,H2L 2M2,,514 597-6397,"1400, boul. René-Lévesque E. Centre de l'information"
125,C B C (Estrie),Radio,Radio-Canada,,Radio,Estrie,,QC,Sherbrooke,,Radio-Canada,(819) 820-8557,www.cbc.ca,J1H 4K7,,(819) 620-0000,"65, Belvédère N., #190 "
126,C B C (Gaspé),Radio,Radio-Canada,,Radio,Gaspésie-IdM,,QC,Gaspé,,Radio-Canada,(418) 368-3915,,J4X 1M8,,(418) 368-6690,"129, Jacques-Cartier "
